name,mIoU,IoU_rust,IoU_PM,IoU_leaf,IoU_background,surfPred_rust,surfPred_PM,surfPred_leaf,surfPred_background,surfGT_rust,surfGT_PM,surfGT_leaf,surfGT_background
111_leaf2,0.5558980854385829,0.4687791797949737,0.0,0.8549518106834024,0.8998613512759556,3756.2400000000002,5100.07,62875.25,40376.28,2126.7200000000003,0.0,72854.95,37126.17
119_leaf3,0.4956460367026765,0.0,0.031677536409552294,0.9792133189386834,0.9716932914624703,335.08,794.57,54114.11,29254.96,0.0,46.99,54838.08,29613.65
16_leaf2,0.5630664805086191,0.28624650729587087,4.9435610117821536e-05,0.9903321889334251,0.9756377901950625,23.98,589.25,71055.94,28175.83,17.45,17.63,71401.35,28408.57
171_leaf5,0.5477406251169876,0.2139011257953989,0.017999187133484293,0.97757572409673,0.981486463442337,7.33,469.6,38273.99,32374.73,17.47,56.39,39052.82,31998.97
224_leaf1,0.5717290207953997,0.32047038940919653,0.0,0.9892670677118265,0.9771786260605757,125.52,470.12,74346.90000000001,27745.33,62.0,0.0,74753.62,27872.25
22_leaf5,0.4928103940993881,0.0,0.0,0.9901897990003371,0.9810517773972153,5.91,495.53000000000003,79365.05,32418.760000000002,0.0,0.0,79911.79000000001,32373.46
233_leaf4,0.6687866439198775,0.7090842909885081,0.0,0.9829561183446948,0.9831061663463071,895.32,578.3100000000001,56019.64,36235.51,748.0500000000001,0.0,56656.19,36324.54
235_leaf5,0.6320613147255141,0.5625997658827285,0.0,0.9849432945398328,0.9807021984794952,1019.03,553.11,78756.22,26692.260000000002,743.02,0.0,79526.89,26750.71
251_leaf4,0.7911452089815176,0.6395003535234504,0.5929000904447077,0.9572618757179119,0.9749185162400005,550.08,5622.400000000001,65267.11,29475.010000000002,493.38,4381.14,66704.11,29335.97
260_leaf4,0.5898113860074218,0.0,0.40177105559718784,0.9689584664605888,0.9885160219719106,394.94,1513.84,54164.46,62042.32,0.0,936.61,55004.58,62174.37
269_leaf3,0.5002456294214118,0.10836487217115934,0.006235790228394072,0.9553919937974588,0.930989861488635,249.4,1047.69,54878.200000000004,24083.48,37.6,18.93,57100.94,23101.3
304_leaf1,0.5695514615584235,0.12927045052402342,0.2040852872355666,0.9623160504592336,0.9825340580148705,879.86,667.23,36913.78,26759.37,115.75,341.36,37800.03,26963.100000000002
308_leaf2,0.5805140157175547,0.34411041784836455,0.0,0.9901341409259146,0.9878115040959395,50.51,478.90000000000003,68177.83,49817.53,20.580000000000002,0.0,68553.56,49950.630000000005
327_leaf3,0.5869818923823322,0.3242432696331427,0.05472103004291846,0.9820747172634774,0.9868885525897901,127.69,784.61,61806.57,46318.17,62.18,100.09,62540.81,46333.96
376_leaf5,0.5520537032434059,0.2753797425867046,0.0,0.9730141346243307,0.959820935762588,1043.34,1581.3600000000001,82938.90000000001,30323.7,1046.51,0.0,84801.77,30039.02
379_leaf3,0.6465457933838823,0.6996562458902618,0.0,0.916353713699027,0.9701732139462403,9464.32,1605.38,43132.85,29089.12,8241.56,0.0,46310.43,28739.68
410_leaf2,0.5381509489098063,0.17749350389766141,0.04891545019688259,0.984343919810349,0.9418509217343323,92.11,2482.84,85994.01,38384.62,25.71,146.34,86898.8,39882.73
448_leaf5,0.6211165505241621,0.46805790048664214,0.05693887333181967,0.9769060392672184,0.9825633890109684,1561.91,1158.6100000000001,75334.76,54646.72,803.19,98.27,76791.56,55008.98
45_leaf2,0.4924497320160954,0.08851856002425888,0.03317001438405425,0.9253101565970133,0.9228001970590551,1499.44,3024.53,80190.58,38928.33,151.81,193.34,86039.64,37258.090000000004
474_leaf3,0.6427810682017117,0.0,0.6408653902659756,0.9512479565002824,0.979010926040589,26.72,5516.87,49341.81,38630.46,0.0,5651.91,49306.75,38557.200000000004
478_leaf5,0.5988773207391617,0.0,0.46716455893060377,0.9707866619638591,0.9575580620621836,15.51,2708.1,39834.87,17219.260000000002,0.0,1442.89,40737.55,17597.3
483_leaf2,0.6722719479593963,0.74127567863435,0.0,0.9684944385845154,0.9793176746187195,2751.46,570.25,41952.65,24334.82,2338.55,0.0,42886.98,24383.65
511_leaf4,0.5789128047710014,0.19565930843766308,0.16383998461918756,0.9727652527700527,0.9833866732571022,1821.9,1127.69,94420.77,52628.5,400.46000000000004,567.28,96447.76,52583.36
